ZIP,CITY,STATEID,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,CLUSTER
26601,Sutton,WV,Café,Hotel,Financial or Legal Service,Pharmacy,Movie Theater,Courthouse,Auto Dealership,Museum,Yoga Studio,Electronics Store,6
26651,Summersville,WV,Fast Food Restaurant,Courthouse,Sports Bar,Elementary School,Funeral Home,Diner,Bank,Automotive Shop,Salon / Barbershop,Country Dance Club,0
40006,Bedford,KY,Gas Station,Event Space,Non-Profit,Fire Station,Assisted Living,Cemetery,Sandwich Place,Government Building,Automotive Shop,Doctor\\'s Office,3
40008,Bloomfield,KY,Office,Automotive Shop,Bed & Breakfast,Convenience Store,Pizza Place,Pharmacy,General Entertainment,Diner,Discount Store,Distillery,0
40019,Eminence,KY,Pizza Place,Courthouse,Pharmacy,Discount Store,Church,Auto Dealership,Asian Restaurant,City Hall,Fast Food Restaurant,Event Space,7
40031,La Grange,KY,Gift Shop,Fast Food Restaurant,City Hall,Convention Center,Deli / Bodega,Coffee Shop,Courthouse,Toy / Game Store,Government Building,Yoga Studio,6
40045,Milton,KY,City Hall,Post Office,Radio Station,Fast Food Restaurant,Gas Station,Sandwich Place,Convenience Store,Design Studio,Diner,Discount Store,3
40057,Pleasureville,KY,Fast Food Restaurant,Auto Dealership,Discount Store,General Entertainment,College Academic Building,City Hall,Gas Station,High School,Emergency Room,Distribution Center,3
40065,Shelbyville,KY,Convenience Store,Pizza Place,Library,Fried Chicken Joint,Dentist\\'s Office,Bank,Brewery,Government Building,Bakery,Yoga Studio,0
40067,Simpsonville,KY,Salon / Barbershop,Post Office,BBQ Joint,Miscellaneous Shop,Gas Station,Coffee Shop,Factory,Construction & Landscaping,Cosmetics Shop,Drugstore,3
40069,Springfield,KY,Mobile Phone Shop,Gas Station,Business Service,Bed & Breakfast,Library,Farmers Market,Pizza Place,Convention Center,Electronics Store,Distribution Center,3
40311,Carlisle,KY,Discount Store,Campground,Library,Market,Food,College Classroom,Police Station,Concert Hall,Emergency Room,Event Service,0
40312,Clay City,KY,Radio Station,Church,Southern / Soul Food Restaurant,Discount Store,Gas Station,Convention Center,Bank,Park,Supermarket,Donut Shop,7
40313,Clearfield,KY,Automotive Shop,Miscellaneous Shop,Medical Center,School,Tech Startup,Bakery,Sandwich Place,Recruiting Agency,Salon / Barbershop,Driving School,0
40322,Frenchburg,KY,Discount Store,Courthouse,High School,Police Station,Sandwich Place,Gas Station,Cemetery,Intersection,College Administrative Building,Doctor\\'s Office,3
40324,Georgetown,KY,Café,Bank,Courthouse,Brewery,Church,Government Building,Yoga Studio,Electronics Store,Distribution Center,Dive Bar,6
40330,Harrodsburg,KY,Courthouse,Post Office,Food,Optical Shop,Bank,Tattoo Parlor,Doctor\\'s Office,Theater,Library,Driving School,6
40336,Irvine,KY,Bank,Courthouse,Mexican Restaurant,Music Venue,Grocery Store,Radio Station,Office,Farmers Market,History Museum,Event Service,6
40337,Jeffersonville,KY,Gas Station,Discount Store,Spiritual Center,Smoke Shop,Pizza Place,Diner,Distillery,Distribution Center,Dive Bar,Doctor\\'s Office,3
40342,Lawrenceburg,KY,Church,City Hall,Private School,Hotel,Building,Dentist\\'s Office,New American Restaurant,Coworking Space,Bakery,Donut Shop,7
40347,Midway,KY,Café,Post Office,Restaurant,Ice Cream Shop,City Hall,Italian Restaurant,Donut Shop,Diner,Discount Store,Distillery,0
40351,Morehead,KY,Coffee Shop,Salon / Barbershop,Pharmacy,Dentist\\'s Office,Bookstore,Bakery,Brewery,College Quad,College Science Building,Event Space,0
40353,Mount Sterling,KY,Courthouse,Government Building,Restaurant,Bank,Bakery,City Hall,Post Office,Pizza Place,Elementary School,Electronics Store,6
40356,Nicholasville,KY,Courthouse,Salon / Barbershop,Bank,Coffee Shop,Tapas Restaurant,Government Building,Church,Mexican Restaurant,Emergency Room,Eye Doctor,6
40359,Owenton,KY,Office,Bus Line,Insurance Office,Discount Store,Dentist\\'s Office,Courthouse,Sandwich Place,Cosmetics Shop,Costume Shop,Distillery,6
40360,Owingsville,KY,Government Building,Post Office,Courthouse,Fast Food Restaurant,Doctor\\'s Office,Church,Library,Lawyer,Gas Station,Country Dance Club,6
40361,Paris,KY,Post Office,Automotive Shop,Office,Church,Diner,Chinese Restaurant,Distillery,Library,Farmers Market,Gym,7
40370,Sadieville,KY,Post Office,Business Service,Fast Food Restaurant,Tech Startup,Other Great Outdoors,Truck Stop,Automotive Shop,Park,Donut Shop,Discount Store,0
40371,Salt Lick,KY,Gas Station,Sandwich Place,Fast Food Restaurant,Hotel,Fire Station,Campground,Cemetery,Dessert Shop,Donut Shop,Discount Store,3
40379,Stamping Ground,KY,Post Office,Housing Development,Church,Discount Store,General Entertainment,Bank,Grocery Store,High School,Event Service,Emergency Room,7
40380,Stanton,KY,Motel,Office,Hardware Store,Fast Food Restaurant,Discount Store,Gas Station,Pharmacy,Supermarket,Automotive Shop,Yoga Studio,3
40383,Versailles,KY,Courthouse,Salon / Barbershop,Carpet Store,Pizza Place,Cemetery,Pharmacy,Bar,Coffee Shop,Church,Discount Store,6
40385,Waco,KY,Gas Station,Miscellaneous Shop,Veterinarian,Church,Driving School,Diner,Discount Store,Distillery,Distribution Center,Dive Bar,7
40390,Wilmore,KY,College Library,General College & University,Spiritual Center,Café,College Administrative Building,University,Church,Event Space,Event Service,Diner,7
40391,Winchester,KY,Church,Office,History Museum,Mobile Phone Shop,School,Gas Station,Bank,Dive Bar,Dessert Shop,Diner,7
40403,Berea,KY,Church,Library,Courthouse,Gas Station,Optical Shop,Bagel Shop,City Hall,Salon / Barbershop,Drugstore,Electronics Store,7
40409,Brodhead,KY,Fast Food Restaurant,Post Office,Discount Store,Hardware Store,Hotel,Café,Bank,Elementary School,Smoke Shop,Donut Shop,0
40419,Crab Orchard,KY,Gas Station,Funeral Home,Discount Store,Hardware Store,Building,Indie Movie Theater,Elementary School,Donut Shop,Diner,Distillery,3
40422,Danville,KY,Medical Center,Bakery,Breakfast Spot,Pharmacy,Courthouse,Indoor Play Area,Paper / Office Supplies Store,Distribution Center,Dive Bar,Doctor\\'s Office,6
40437,Hustonville,KY,Post Office,Park,Miscellaneous Shop,Snack Place,Discount Store,Scenic Lookout,Church,Gas Station,Bank,Business Service,7
40444,Lancaster,KY,Library,Cuban Restaurant,Diner,Preschool,Lawyer,Building,Pharmacy,Courthouse,Restaurant,General Travel,6
40456,Mount Vernon,KY,Post Office,Pharmacy,Fast Food Restaurant,Gas Station,Automotive Shop,Grocery Store,Other Great Outdoors,Business Service,Dessert Shop,Discount Store,3
40461,Paint Lick,KY,Hotel,Office,Post Office,Motel,Financial or Legal Service,Sandwich Place,Art Gallery,Convenience Store,Drugstore,Discount Store,0
40475,Richmond,KY,Police Station,Courthouse,Music Store,Chinese Restaurant,Sandwich Place,Office,Salad Place,Lawyer,Post Office,Cosmetics Shop,6
40484,Stanford,KY,Library,Veterinarian,Government Building,Church,Courthouse,Gas Station,Café,Conference Room,Event Space,Donut Shop,6
40486,Tyner,KY,Non-Profit,Residential Building (Apartment / Condo),High School,Factory,Gas Station,Building,Video Store,Elementary School,Doctor\\'s Office,Diner,3
40489,Waynesburg,KY,Discount Store,Post Office,Church,Funeral Home,Border Crossing,Gas Station,Fast Food Restaurant,Emergency Room,Elementary School,Electronics Store,3
40502,Lexington,KY,College Bookstore,Golf Course,High School,Coffee Shop,College Classroom,Locksmith,Diner,Discount Store,Distillery,Distribution Center,4
40503,Lexington,KY,College Bookstore,Golf Course,High School,Coffee Shop,College Classroom,Locksmith,Diner,Discount Store,Distillery,Distribution Center,4
40504,Lexington,KY,College Bookstore,Golf Course,High School,Coffee Shop,College Lab,Locksmith,Diner,Discount Store,Distillery,Distribution Center,4
40505,Lexington,KY,College Bookstore,Golf Course,High School,Coffee Shop,College Classroom,Locksmith,Diner,Discount Store,Distillery,Distribution Center,4
40508,Lexington,KY,College Bookstore,Building,Coffee Shop,Golf Course,Locksmith,High School,Donut Shop,Diner,Discount Store,Distillery,4
40509,Lexington,KY,College Bookstore,Golf Course,High School,Coffee Shop,College Classroom,Locksmith,Diner,Discount Store,Distillery,Distribution Center,4
40511,Lexington,KY,College Bookstore,Golf Course,High School,Coffee Shop,College Lab,Locksmith,Diner,Discount Store,Distillery,Distribution Center,4
40513,Lexington,KY,College Bookstore,Golf Course,High School,Coffee Shop,College Lab,Locksmith,Diner,Discount Store,Distillery,Distribution Center,4
40514,Lexington,KY,College Bookstore,Building,Coffee Shop,Golf Course,Locksmith,High School,Donut Shop,Diner,Discount Store,Distillery,4
40515,Lexington,KY,College Bookstore,Building,Coffee Shop,Golf Course,Locksmith,High School,Donut Shop,Diner,Discount Store,Distillery,4
40516,Lexington,KY,College Bookstore,Golf Course,High School,Coffee Shop,College Classroom,Locksmith,Diner,Discount Store,Distillery,Distribution Center,4
40517,Lexington,KY,College Bookstore,Golf Course,High School,Coffee Shop,College Lab,Locksmith,Diner,Discount Store,Distillery,Distribution Center,4
40601,Frankfort,KY,Government Building,Brewery,Gym / Fitness Center,Campground,Museum,Track,Credit Union,Drugstore,Distillery,Distribution Center,0
40701,Corbin,KY,Bar,Car Wash,Pharmacy,Diner,Office,Park,Financial or Legal Service,Sculpture Garden,Fast Food Restaurant,Elementary School,0
